num;theme;enonce;query;nb
15;;Quels sont tous les albums qui rentrent dans une des catégories suivantes au moins : albums de la série "Astérix" édités chez "Dargaud",   albums de la série "Tintin" édités chez "Casterman" ou au "Le Lombard" et   albums sans aucun auteur spécifié.;SELECT * FROM bd1.albums  WHERE (editeur = 'Dargaud' AND serie = 'Astérix') OR((editeur = 'Casterman' OR editeur = 'Le Lombard') AND serie = 'Tintin') OR (scenariste IS NULL AND coloriste IS NULL AND dessinateur IS NULL);13
16;;Lister les titres des albums qui contiennent le mot "César".;SELECT DISTINCT titre FROM bd1.albums  WHERE titre LIKE '%César%';1
17;;Lister les auteurs dont le nom commence par le mot "de" (peu importe la casse).;SELECT DISTINCT dessinateur, scenariste, coloriste FROM bd1.albums  WHERE lower(dessinateur) LIKE 'de%' OR lower(scenariste) LIKE 'de%' OR lower(coloriste) LIKE 'de%';2
18;order by;Donnez tous les titres des albums de la série "Astérix" et leur année d’édition, en ordre chronologique.;SELECT DISTINCT titre, annee_edition FROM bd1.albums  WHERE serie = 'Astérix'  ORDER BY annee_edition;8
19;order by;Donnez tous les titres des albums de la série "Astérix", en ordre alphabétique des titres.;SELECT DISTINCT titre FROM bd1.albums WHERE serie = 'Astérix' ORDER BY titre;8
20;order by;Donnez les albums (isbn, titre, nom d’éditeur et année d'édition) en classant ces données par éditeur, et pour chaque éditeur, par année d'édition.;SELECT isbn, titre, editeur, annee_edition FROM bd1.albums  ORDER BY editeur, annee_edition;44
21;order by;Donnez les titres et les prix des albums édités par "Dupuis", par ordre décroissant de prix.";SELECT DISTINCT titre, prix FROM bd1.albums  WHERE editeur = 'Dupuis'  ORDER BY prix DESC;9
22;fonctions agrégées;Quelle est la plus ancienne année d'édition de la table bd1.albums?;SELECT MIN(annee_edition) FROM bd1.albums;1947
23;fonctions agrégées;Quel est le prix de l’album le plus cher parmi ceux qui ont été dessinés par un autre dessinateur qu'"Uderzo"?;SELECT MAX(prix) FROM bd1.albums  WHERE dessinateur != 'Uderzo';14
24;fonctions agrégées;Combien y a-t-il d’albums édités chez "Casterman" ?;SELECT COUNT(*) FROM bd1.albums  WHERE editeur = 'Casterman';7
25;fonctions agrégées;Combien d’années séparent l’album le plus ancien de l’album le plus récent ?;SELECT MAX(annee_edition) - MIN(annee_edition) FROM bd1.albums;59
26;fonctions agrégées;Combien devrai-je payer si j’achète 3 exemplaires de chacun des albums édités par "Blake et Mortimer" et si le libraire m’accorde une réduction de 25% ?;SELECT 3*0.75*SUM(prix) FROM bd1.albums  WHERE editeur = 'Blake et Mortimer';216
27;fonctions agrégées;Les albums de la série "Tintin" ont-ils tous le même prix ? (le query pourrait par exemple renvoyer la valeur 1 si la réponse est oui);SELECT COUNT(distinct prix) FROM bd1.albums  WHERE serie = 'Tintin';1
28;fonctions agrégées;Combien y a-t-il de séries différentes dans la table bd1.albums?;SELECT COUNT(distinct serie) FROM bd1.albums ;10
29;fonctions agrégées;Combien y a-t-il d’albums pour lesquels la série est spécifiée ? Peut-on répondre à cette question par un query sans clause WHERE ? ;SELECT COUNT(serie) FROM bd1.albums;41
30;fonctions agrégées;Combien y a-t-il d’albums pour lesquels la série n’est pas spécifiée ? Peut-on répondre à cette question par un query sans clause WHERE?;SELECT COUNT(*) - COUNT(serie) FROM bd1.albums;3
31;fonctions agrégées;Combien y a-t-il d'albums dont un des auteurs au moins s'appelle "Uderzo", et quelles sont les dates d'édition du plus ancien et du plus récent d'entre eux?;SELECT COUNT(*), MIN(annee_edition), MAX(annee_edition)  FROM bd1.albums  WHERE (scenariste = 'Uderzo' OR dessinateur = 'Uderzo' OR coloriste = 'Uderzo');8 - 1975 - 1987
32;fonctions agrégées;Quels est le prix moyen des albums édités par "Dupuis" entre 1990 et 1999 (y compris ces deux années extrêmes) ?;SELECT AVG(prix) FROM bd1.albums  WHERE editeur = 'Dupuis' AND (annee_edition >= 1990 AND annee_edition <= 1999)  ;9
33;fonctions agrégées;Quel est le prix moyen des albums édités par "Dupuis" à l’exception des albums édités entre 1990 et 1999.;SELECT AVG(prix) FROM bd1.albums  WHERE editeur = 'Dupuis' AND (annee_edition < 1990 OR annee_edition > 1999);6.67
34;fonctions agrégées;Si je veux acheter un exemplaire de tous les albums dont le scénariste est "goscinny" et/ou le dessinateur "uderzo", combien devrai-je débourser?;SELECT SUM(prix) FROM bd1.albums  WHERE scenariste = 'Goscinny' OR dessinateur = 'Uderzo';75
35;fonctions agrégées;Si je veux acheter un exemplaire de tous les albums dont le scénariste n’est ni "goscinny" ni "uderzo", combien devrai-je débourser?;SELECT SUM(prix) FROM bd1.albums  WHERE scenariste != 'Goscinny' AND scenariste != 'Uderzo';209
